date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:18	349/349	---MCZ	200	added ('OK')	text/plain	date:Mon,%2008%20Jul%202024%2020:10:18%20GMT	https://pikakid98games.wordpress.com/robots.txt		(from )
21:10:18	111930/111930	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2020:10:18%20GMT	https://pikakid98games.wordpress.com/	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/pikakid98games.wordpress.com/index.html	(from )
21:10:20	2732/2732	---MCZ	200	added ('OK')	text/css	etag:W/3821-1684461283956.7097	https://s0.wp.com/wp-content/themes/pub/varia/print.css?m=1571655471i&cssminify=yes	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/s0.wp.com/wp-content/themes/pub/varia/print2d49.css	(from https://pikakid98games.wordpress.com/)
21:10:20	6918/6918	---MCZ	200	added ('OK')	text/css	etag:W/%2265301e3e-1b06%22	https://s2.wp.com/_static/??/wp-content/blog-plugins/wordads/global.css,/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1697652279j&cssminify=yes	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/s2.wp.com/_static/index6405.html	(from https://pikakid98games.wordpress.com/)
21:10:20	1657/1657	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2008%20Jul%202024%2020:10:19%20GMT	https://pikakid98games.wordpress.com/feed/	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/pikakid98games.wordpress.com/feed/index.html	(from https://pikakid98games.wordpress.com/)
21:10:20	958/958	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2251ab65af479e9852e3410c21c8035633%22	https://pikakid98games.wordpress.com/comments/feed/	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/pikakid98games.wordpress.com/comments/feed/index.html	(from https://pikakid98games.wordpress.com/)
21:10:20	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684461197956.71	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://pikakid98games.wordpress.com/)
21:10:20	369/369	---M--	200	added ('OK')	text/css	etag:%226466d548-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/s1.wp.com/_static/indexd02a.html	(from https://pikakid98games.wordpress.com/)
21:10:21	895/895	---MCZ	200	added ('OK')	text/xml	date:Mon,%2008%20Jul%202024%2020:10:21%20GMT	https://pikakid98games.wordpress.com/xmlrpc.php?rsd	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/pikakid98games.wordpress.com/xmlrpc0db0.php	(from https://pikakid98games.wordpress.com/)
21:10:21	1544/1544	---MCZ	200	added ('OK')	application/xml	date:Mon,%2008%20Jul%202024%2020:10:22%20GMT	https://pikakid98games.wordpress.com/osd.xml	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/pikakid98games.wordpress.com/osd.xml	(from https://pikakid98games.wordpress.com/)
21:10:21	2906/2906	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Dec%202020%2014:05:40%20GMT	https://pikakid98games.wordpress.com/wp-content/uploads/2020/12/cropped-pg-1.png?w=32	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/pikakid98games.wordpress.com/wp-content/uploads/2020/12/cropped-pg-176ca.png	(from https://pikakid98games.wordpress.com/)
21:10:22	49486/49486	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Dec%202020%2014:05:40%20GMT	https://pikakid98games.wordpress.com/wp-content/uploads/2020/12/cropped-pg-1.png?w=192	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/pikakid98games.wordpress.com/wp-content/uploads/2020/12/cropped-pg-19939.png	(from https://pikakid98games.wordpress.com/)
21:10:22	44697/44697	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Dec%202020%2014:05:40%20GMT	https://pikakid98games.wordpress.com/wp-content/uploads/2020/12/cropped-pg-1.png?w=180	C:/Users/Pika/Apps/HTTrack/Projects/pikakid98games.wordpress.com/pikakid98games.wordpress.com/wp-content/uploads/2020/12/cropped-pg-1ad83.png	(from https://pikakid98games.wordpress.com/)
